probeId	geneId
ILMN_1214593	ENSMUSG00000027371
ILMN_1214597	ENSMUSG00000083628
ILMN_1214597	ENSMUSG00000071788
ILMN_1214602	ENSMUSG00000027996
ILMN_1214608	ENSMUSG00000030123
ILMN_1214609	ENSMUSG00000036112
ILMN_1214617	ENSMUSG00000029765
ILMN_1214624	ENSMUSG00000050295
ILMN_1214631	ENSMUSG00000003762
ILMN_1214634	ENSMUSG00000032204
ILMN_1214635	ENSMUSG00000038246
ILMN_1214645	ENSMUSG00000032041
ILMN_1214647	ENSMUSG00000038116
ILMN_1214659	ENSMUSG00000031007
ILMN_1214661	ENSMUSG00000075066
ILMN_1214662	ENSMUSG00000063364
ILMN_1214664	ENSMUSG00000018196
ILMN_1214668	ENSMUSG00000069769
ILMN_1214671	ENSMUSG00000047832
ILMN_1214672	ENSMUSG00000029097
ILMN_1214678	ENSMUSG00000051166
ILMN_1214681	ENSMUSG00000034040
ILMN_1214686	ENSMUSG00000075318
ILMN_1214693	ENSMUSG00000025453
ILMN_1214695	ENSMUSG00000059474
ILMN_1214700	ENSMUSG00000042751
ILMN_1214701	ENSMUSG00000019647
ILMN_1214703	ENSMUSG00000026576
ILMN_1214708	ENSMUSG00000027519
ILMN_1214713	ENSMUSG00000024968
ILMN_1214715	ENSMUSG00000020932
ILMN_1214719	ENSMUSG00000022257
ILMN_1214722	ENSMUSG00000068599
ILMN_1214726	ENSMUSG00000005447
ILMN_1214731	ENSMUSG00000056116
ILMN_1214734	ENSMUSG00000019947
ILMN_1214737	ENSMUSG00000003410
ILMN_1214738	ENSMUSG00000028483
ILMN_1214740	ENSMUSG00000051169
ILMN_1214750	ENSMUSG00000026866
ILMN_1214753	ENSMUSG00000026495
ILMN_1214761	ENSMUSG00000021936
ILMN_1214762	ENSMUSG00000025915
ILMN_1214765	ENSMUSG00000026469
ILMN_1214767	ENSMUSG00000001521
ILMN_1214768	ENSMUSG00000048612
ILMN_1214775	ENSMUSG00000055099
ILMN_1214782	ENSMUSG00000084957
ILMN_1214788	ENSMUSG00000058006
ILMN_1214790	ENSMUSG00000011349
ILMN_1214793	ENSMUSG00000055041
ILMN_1214795	ENSMUSG00000053666
ILMN_1214800	ENSMUSG00000040746
ILMN_1214802	ENSMUSG00000024973
ILMN_1214803	ENSMUSG00000043929
ILMN_1214806	ENSMUSG00000037270
ILMN_1214810	ENSMUSG00000062421
